id,day,type,_number,prompt,options,correct_answer,answer,difficulty,active,created_at
550e8400-e29b-41d4-a716-446655440012,Day 1,interview,2,"Explain how an operating system acts as a bridge between user applications and hardware.",,,"\nThe operating system provides an interface between applications and hardware.\n\nApplications request resources through the OS, and the OS communicates with hardware components.\n\nThis ensures controlled and secure access to CPU, memory, and storage.\n\nExample: When saving a file, the application requests the OS, and the OS writes data to disk.",easy,TRUE,2026-02-24 14:00:00
550e8400-e29b-41d4-a716-446655440013,Day 1,interview,3,"Describe the difference between system software and application software with practical context.",,,"\nSystem software manages hardware and system resources.\n\nApplication software performs specific user tasks.\n\nSystem software runs in the background, while application software directly interacts with users.\n\nExample: Windows is system software, while a browser is application software.",easy,TRUE,2026-02-24 14:00:00
550e8400-e29b-41d4-a716-446655440014,Day 1,interview,4,"How does a network enable resource sharing in an organization?",,,"\nA network connects multiple devices using wired or wireless communication.\n\nIt allows sharing of files, printers, and internet through communication protocols.\n\nCentralized resources improve efficiency and reduce cost.\n\nExample: Employees access a shared printer through a LAN connection.",medium,TRUE,2026-02-24 14:00:00
550e8400-e29b-41d4-a716-446655440015,Day 1,interview,5,"Explain the role of routers in Internet communication.",,,"\nRouters direct data packets between networks.\n\nThey determine the best path for packets to reach their destination IP address.\n\nThey manage traffic similar to road intersections.\n\nExample: When accessing a website, routers forward packets from local network to global servers.",medium,TRUE,2026-02-24 14:00:00
550e8400-e29b-41d4-a716-446655440016,Day 1,interview,6,"What happens technically when you type a website URL in a browser and press Enter?",,,"\nThe browser sends an HTTP request to the server.\n\nThe request travels through routers over the Internet.\n\nThe server processes it and sends back a response such as HTML.\n\nThe browser renders the response for display.\n\nExample: Entering a URL loads the corresponding webpage.",medium,TRUE,2026-02-24 14:00:00
550e8400-e29b-41d4-a716-446655440017,Day 1,interview,7,"Why is multitasking important in modern operating systems?",,,"\nMultitasking allows multiple programs to run simultaneously.\n\nThe OS schedules CPU time and manages memory for each process.\n\nThis improves productivity and system efficiency.\n\nExample: Listening to music while editing a document uses multitasking.",hard,TRUE,2026-02-24 14:00:00
550e8400-e29b-41d4-a716-446655440018,Day 1,interview,8,"Discuss how IP addresses enable global communication on the Internet.",,,"\nAn IP address uniquely identifies a device on the Internet.\n\nRouters use IP addresses to forward packets to correct destinations.\n\nWithout unique identification, communication would fail.\n\nExample: Servers send responses back to the requesting device using its IP address.",hard,TRUE,2026-02-24 14:00:00
550e8400-e29b-41d4-a716-446655440019,Day 1,interview,9,"How does the operating system contribute to system security and stability?",,,"\nThe OS manages user permissions and controls access to hardware resources.\n\nIt isolates processes to prevent system crashes.\n\nSecurity mechanisms ensure only authorized access.\n\nExample: Password-protected login prevents unauthorized system use.",hard,TRUE,2026-02-24 14:00:00
550e8400-e29b-41d4-a716-446655440020,Day 1,interview,10,"Differentiate between LAN, MAN, and WAN in terms of scope and usage.",,,"\nLAN covers a small local area like an office.\n\nMAN spans a city.\n\nWAN connects large geographical areas or countries.\n\nOrganizations choose based on coverage requirements.\n\nExample: Office network is LAN, city-wide network is MAN, global network is WAN.",medium,TRUE,2026-02-24 14:00:00
550e8400-e29b-41d4-a716-446655440021,Day 1,quiz,1,"Which component is responsible for executing instructions in a computer?","[""CPU"",""Monitor"",""Keyboard"",""Printer""]","CPU","\nThe CPU performs actual computation and executes instructions given by software.\n\nIt processes data and controls other hardware components.\n\nWithout CPU, no logical operations can occur.\n\nExample: When opening an application, the CPU processes the instructions.",easy,TRUE,2026-02-24 14:00:00
550e8400-e29b-41d4-a716-446655440022,Day 1,quiz,2,"Which type of software manages hardware resources?","[""Application Software"",""Utility Software"",""System Software"",""Browser""]","System Software","\nSystem software, especially the operating system, manages hardware resources.\n\nIt controls CPU, memory, and storage allocation.\n\nApplications depend on it to function.\n\nExample: Windows manages memory for running applications.",easy,TRUE,2026-02-24 14:00:00
550e8400-e29b-41d4-a716-446655440023,Day 1,quiz,3,"What uniquely identifies a device on the Internet?","[""MAC Address"",""IP Address"",""Hostname"",""Router ID""]","IP Address","\nAn IP address uniquely identifies a device on the Internet.\n\nRouters use it to deliver data packets correctly.\n\nIt acts like a digital address.\n\nExample: Websites send responses back to the client IP address.",easy,TRUE,2026-02-24 14:00:00
550e8400-e29b-41d4-a716-446655440024,Day 1,quiz,4,"Which network type connects devices within a single office building?","[""WAN"",""LAN"",""MAN"",""Internet""]","LAN","\nA LAN connects devices in a limited geographic area.\n\nIt enables resource sharing within offices or homes.\n\nIt is usually high speed and locally managed.\n\nExample: Office computers connected through Ethernet form a LAN.",medium,TRUE,2026-02-24 14:00:00
550e8400-e29b-41d4-a716-446655440025,Day 1,quiz,5,"In client-server communication, who initiates the request?","[""Server"",""Router"",""Client"",""Switch""]","Client","\nThe client initiates communication by sending a request.\n\nThe server listens and responds to that request.\n\nThis model structures web communication.\n\nExample: A browser sends a request to load a webpage.",medium,TRUE,2026-02-24 14:00:00
550e8400-e29b-41d4-a716-446655440026,Day 1,quiz,6,"Which protocol is commonly used for Internet communication?","[""FTP"",""TCP/IP"",""SMTP"",""USB""]","TCP/IP","\nTCP/IP is the standard protocol suite used for Internet communication.\n\nIt defines how data is packaged and transmitted.\n\nMost online services rely on it.\n\nExample: Browsers use TCP/IP to communicate with servers.",medium,TRUE,2026-02-24 14:00:00
550e8400-e29b-41d4-a716-446655440027,Day 1,quiz,7,"What enables multiple programs to run simultaneously on a system?","[""Multitasking by OS"",""Extra Monitor"",""Printer Driver"",""Single Core Only""]","Multitasking by OS","\nMultitasking is managed by the operating system.\n\nIt schedules CPU time across processes.\n\nThis improves system efficiency.\n\nExample: Playing music while browsing the web.",hard,TRUE,2026-02-24 14:00:00
550e8400-e29b-41d4-a716-446655440028,Day 1,quiz,8,"Routers in the Internet are best compared to what in the road analogy?","[""Vehicles"",""Traffic Signals"",""Traffic Junctions"",""Passengers""]","Traffic Junctions","\nRouters act like traffic junctions in the road analogy.\n\nThey decide the best path for data packets.\n\nThey manage network traffic flow.\n\nExample: Data is forwarded through multiple routers to reach a server.",hard,TRUE,2026-02-24 14:00:00
550e8400-e29b-41d4-a716-446655440029,Day 1,quiz,9,"Which software application is an example of a client in web communication?","[""Database Server"",""Web Browser"",""Router"",""Operating System Kernel""]","Web Browser","\nA web browser acts as a client in the client-server model.\n\nIt sends requests and displays server responses.\n\nIt enables user interaction with web content.\n\nExample: Chrome requests and displays webpages.",medium,TRUE,2026-02-24 14:00:00
550e8400-e29b-41d4-a716-446655440030,Day 1,quiz,10,"Which component stores data permanently?","[""RAM"",""CPU"",""SSD"",""Cache""]","SSD","\nSSD is a storage device used for permanent data storage.\n\nIt retains data even when power is off.\n\nIt is part of hardware components.\n\nExample: The operating system is stored on SSD.",hard,TRUE,2026-02-24 14:00:00


c1a9f0e2-3d4b-4a6f-9c1e-7b8a2d1e9001,Day 2,scenario,1,"A startup plans to build a messaging application for users. From a development fundamentals perspective, outline the major stages they must follow to release it successfully.",,,"\nApplication development follows a structured process including planning, coding, testing, deployment, and maintenance.\n\nPlanning defines purpose and features. Coding implements functionality. Testing ensures performance and security. Deployment releases the app to users. Maintenance fixes issues and improves experience.\n\nIn industry, skipping stages leads to unstable products.\n\nExample: A messaging app is first planned with chat features, coded, tested for bugs, deployed to users, and later updated with improvements.",easy,TRUE,2026-02-24 15:00:00
c1a9f0e2-3d4b-4a6f-9c1e-7b8a2d1e9002,Day 2,scenario,2,"A company wants its website to look attractive and user-friendly. Which developer role is primarily responsible and why?",,,"\nThe frontend developer is primarily responsible for user interface design and visual implementation.\n\nThey work with HTML, CSS, and JavaScript to create layouts, styling, animations, and responsiveness.\n\nA good frontend improves usability and user experience.\n\nExample: Designing buttons, colors, and layout for a landing page is handled by a frontend developer.",easy,TRUE,2026-02-24 15:00:00
c1a9f0e2-3d4b-4a6f-9c1e-7b8a2d1e9003,Day 2,scenario,3,"During development, user data must be stored securely and processed correctly. Which role handles this and how?",,,"\nThe backend developer manages server-side logic and database operations.\n\nThey implement APIs, authentication, and ensure secure data handling.\n\nBackend systems maintain data consistency and performance.\n\nExample: Saving user login details securely in a database is handled by backend development.",easy,TRUE,2026-02-24 15:00:00
c1a9f0e2-3d4b-4a6f-9c1e-7b8a2d1e9004,Day 2,scenario,4,"When a browser loads a webpage, explain how HTML, CSS, and JavaScript work together to display the final output.",,,"\nThe browser first parses HTML to understand structure and builds the DOM.\n\nCSS is applied to style the structured content during rendering.\n\nJavaScript adds dynamic behavior and can modify the DOM after rendering.\n\nThis collaboration creates structured, styled, and interactive pages.\n\nExample: HTML creates a button, CSS styles it blue, and JavaScript makes it respond to clicks.",medium,TRUE,2026-02-24 15:00:00
c1a9f0e2-3d4b-4a6f-9c1e-7b8a2d1e9005,Day 2,scenario,5,"A website must work properly on mobile, tablet, and desktop screens. Which concept ensures this and how does it work?",,,"\nResponsive Web Design ensures websites adapt to different screen sizes.\n\nIt uses flexible grid layouts and CSS media queries to adjust layout and content.\n\nThis improves accessibility and user experience across devices.\n\nExample: A three-column desktop layout becomes a single-column layout on mobile.",medium,TRUE,2026-02-24 15:00:00
c1a9f0e2-3d4b-4a6f-9c1e-7b8a2d1e9006,Day 2,scenario,6,"A product team wants one codebase for both Android and iOS apps. Which approach supports this requirement and why?",,,"\nCross-platform technologies allow building apps for multiple platforms using a single codebase.\n\nThey reduce development time and cost while sharing logic across platforms.\n\nThey aim to provide near-native performance.\n\nExample: Using a cross-platform framework allows the same business logic to run on both Android and iOS devices.",medium,TRUE,2026-02-24 15:00:00
c1a9f0e2-3d4b-4a6f-9c1e-7b8a2d1e9007,Day 2,scenario,7,"While testing a web application, developers notice layout issues after JavaScript updates content dynamically. Explain how parsing and rendering are involved.",,,"\nThe browser parses HTML to create the DOM structure.\n\nRendering converts the DOM into visual output and applies CSS styles.\n\nWhen JavaScript modifies the DOM dynamically, the browser re-renders affected parts.\n\nUnderstanding parsing and rendering helps diagnose layout changes.\n\nExample: Adding a new element through JavaScript causes the browser to update the visible page.",hard,TRUE,2026-02-24 15:00:00
c1a9f0e2-3d4b-4a6f-9c1e-7b8a2d1e9008,Day 2,scenario,8,"An application performs slowly due to heavy animations and styling. From a fundamentals perspective, which layer might need optimization?",,,"\nPerformance issues related to animations and styling are often linked to CSS and frontend implementation.\n\nExcessive animations and complex styles can impact rendering efficiency.\n\nOptimizing CSS improves responsiveness and user experience.\n\nExample: Reducing heavy transitions improves page load smoothness.",hard,TRUE,2026-02-24 15:00:00
c1a9f0e2-3d4b-4a6f-9c1e-7b8a2d1e9009,Day 2,scenario,9,"A fullstack developer is assigned to build a small product independently. Explain how their responsibilities differ from frontend-only or backend-only roles.",,,"\nA fullstack developer handles both user interface and server-side logic.\n\nThey design frontend components and implement backend APIs and databases.\n\nThey act as a bridge between UI and server architecture.\n\nExample: Building both login page design and authentication API independently.",hard,TRUE,2026-02-24 15:00:00
c1a9f0e2-3d4b-4a6f-9c1e-7b8a2d1e9010,Day 2,scenario,10,"A company wants to publish a mobile application. Explain the difference in development and distribution between Android and iOS platforms.",,,"\nAndroid development uses Java or Kotlin and distributes apps via Google Play Store.\n\niOS development uses Swift or Objective-C and distributes apps through Apple App Store.\n\nEach platform has its ecosystem and guidelines.\n\nExample: An Android app is uploaded to Play Store, while an iOS app is submitted to App Store.",medium,TRUE,2026-02-24 15:00:00
c1a9f0e2-3d4b-4a6f-9c1e-7b8a2d1e9011,Day 2,interview,1,"Describe how application development differs from general software usage.",,,"\nApplication development involves designing, building, testing, deploying, and maintaining software.\n\nSoftware usage refers to end users interacting with already built applications.\n\nDevelopers focus on creation and improvement.\n\nExample: Coding a browser is development, browsing websites is usage.",easy,TRUE,2026-02-24 15:00:00
c1a9f0e2-3d4b-4a6f-9c1e-7b8a2d1e9012,Day 2,interview,2,"How would you explain the responsibility of a frontend developer in a product team?",,,"\nA frontend developer builds the visual and interactive parts of applications.\n\nThey implement layouts, styles, animations, and ensure responsiveness.\n\nThey directly impact user experience.\n\nExample: Creating responsive navigation menus and forms.",easy,TRUE,2026-02-24 15:00:00
c1a9f0e2-3d4b-4a6f-9c1e-7b8a2d1e9013,Day 2,interview,3,"Walk me through the role of backend development in ensuring system reliability.",,,"\nBackend development handles server logic, database operations, and APIs.\n\nIt ensures secure authentication, data consistency, and performance.\n\nReliable backend prevents data loss and security breaches.\n\nExample: Validating user credentials before granting access.",easy,TRUE,2026-02-24 15:00:00
c1a9f0e2-3d4b-4a6f-9c1e-7b8a2d1e9014,Day 2,interview,4,"Explain how browsers convert code into a visible webpage.",,,"\nBrowsers parse HTML to create the DOM.\n\nThey apply CSS during rendering to style content.\n\nJavaScript enables dynamic updates and interactivity.\n\nExample: HTML defines structure, CSS styles it, JavaScript adds click behavior.",medium,TRUE,2026-02-24 15:00:00
c1a9f0e2-3d4b-4a6f-9c1e-7b8a2d1e9015,Day 2,interview,5,"Why is separation of content and design important in modern web development?",,,"\nHTML defines structure while CSS handles styling.\n\nSeparation improves maintainability and scalability.\n\nDesign changes can be made without modifying structure.\n\nExample: Changing theme color via CSS without editing HTML content.",medium,TRUE,2026-02-24 15:00:00
c1a9f0e2-3d4b-4a6f-9c1e-7b8a2d1e9016,Day 2,interview,6,"How does JavaScript improve user experience compared to static webpages?",,,"\nJavaScript enables dynamic updates without page reload.\n\nIt handles user input validation and animations.\n\nThis creates responsive and interactive experiences.\n\nExample: Displaying form error message instantly without refreshing.",medium,TRUE,2026-02-24 15:00:00
c1a9f0e2-3d4b-4a6f-9c1e-7b8a2d1e9017,Day 2,interview,7,"Discuss how responsive design contributes to accessibility and usability.",,,"\nResponsive design adapts layout using flexible grids and media queries.\n\nIt ensures content fits various screen sizes.\n\nUsers get consistent experience across devices.\n\nExample: A mobile-friendly layout improves readability on small screens.",hard,TRUE,2026-02-24 15:00:00
c1a9f0e2-3d4b-4a6f-9c1e-7b8a2d1e9018,Day 2,interview,8,"Compare native mobile development and cross-platform development approaches.",,,"\nNative development builds separate apps for each platform using platform-specific languages.\n\nCross-platform uses a single codebase for multiple platforms.\n\nCross-platform reduces cost and development time.\n\nExample: Writing separate Swift and Kotlin apps versus one shared codebase.",hard,TRUE,2026-02-24 15:00:00
c1a9f0e2-3d4b-4a6f-9c1e-7b8a2d1e9019,Day 2,interview,9,"How does DOM manipulation impact rendering performance?",,,"\nDOM represents webpage structure created during parsing.\n\nJavaScript modifications trigger re-rendering of affected sections.\n\nEfficient manipulation improves performance.\n\nExample: Updating only a specific section instead of reloading entire page.",hard,TRUE,2026-02-24 15:00:00
c1a9f0e2-3d4b-4a6f-9c1e-7b8a2d1e9020,Day 2,interview,10,"In a small startup, why might hiring a fullstack developer be strategic?",,,"\nA fullstack developer handles both frontend and backend tasks.\n\nThis reduces hiring cost and improves coordination.\n\nThey can deliver complete features independently.\n\nExample: Designing UI and implementing server logic alone.",medium,TRUE,2026-02-24 15:00:00
c1a9f0e2-3d4b-4a6f-9c1e-7b8a2d1e9021,Day 2,quiz,1,"Which language defines the structure of a webpage?","[""CSS"",""HTML"",""JavaScript"",""Python""]","HTML","\nHTML defines the structure of web content using tags.\n\nIt organizes text, images, and links.\n\nBrowsers parse HTML to create the DOM.\n\nExample: Headings and paragraphs are defined using HTML tags.",easy,TRUE,2026-02-24 15:00:00
c1a9f0e2-3d4b-4a6f-9c1e-7b8a2d1e9022,Day 2,quiz,2,"Which technology is mainly responsible for styling a webpage?","[""HTML"",""CSS"",""Java"",""SQL""]","CSS","\nCSS controls visual presentation including colors and layout.\n\nIt separates design from structure.\n\nIt enhances user experience.\n\nExample: Setting background color using CSS.",easy,TRUE,2026-02-24 15:00:00
c1a9f0e2-3d4b-4a6f-9c1e-7b8a2d1e9023,Day 2,quiz,3,"Which role focuses on server-side logic and database management?","[""Frontend Developer"",""Backend Developer"",""UI Designer"",""Tester""]","Backend Developer","\nBackend developers manage server logic and databases.\n\nThey ensure secure and efficient data processing.\n\nThey build APIs for communication.\n\nExample: Creating login authentication system.",easy,TRUE,2026-02-24 15:00:00
c1a9f0e2-3d4b-4a6f-9c1e-7b8a2d1e9024,Day 2,quiz,4,"During parsing, what structure does the browser create?","[""API"",""DOM"",""Database"",""Server""]","DOM","\nDuring parsing, the browser reads HTML and creates the DOM.\n\nThe DOM represents page structure.\n\nRendering uses the DOM to display content.\n\nExample: Elements become nodes in the DOM tree.",medium,TRUE,2026-02-24 15:00:00
c1a9f0e2-3d4b-4a6f-9c1e-7b8a2d1e9025,Day 2,quiz,5,"Which concept ensures websites adapt to different screen sizes?","[""Static Design"",""Responsive Web Design"",""Backend Scaling"",""Server Clustering""]","Responsive Web Design","\nResponsive design uses flexible grids and media queries.\n\nIt adjusts layout for multiple devices.\n\nIt improves accessibility.\n\nExample: Mobile layout adjusting automatically.",medium,TRUE,2026-02-24 15:00:00
c1a9f0e2-3d4b-4a6f-9c1e-7b8a2d1e9026,Day 2,quiz,6,"Which language adds interactivity to web pages?","[""HTML"",""CSS"",""JavaScript"",""XML""]","JavaScript","\nJavaScript enables dynamic updates and user interaction.\n\nIt can modify DOM after rendering.\n\nIt improves responsiveness.\n\nExample: Showing alert on button click.",medium,TRUE,2026-02-24 15:00:00
c1a9f0e2-3d4b-4a6f-9c1e-7b8a2d1e9027,Day 2,quiz,7,"Which developer can independently build both frontend and backend parts?","[""Frontend Developer"",""Backend Developer"",""Fullstack Developer"",""Graphic Designer""]","Fullstack Developer","\nA fullstack developer has skills in both frontend and backend.\n\nThey build complete applications.\n\nThey connect UI with server logic.\n\nExample: Creating both UI and API endpoints.",hard,TRUE,2026-02-24 15:00:00
c1a9f0e2-3d4b-4a6f-9c1e-7b8a2d1e9028,Day 2,quiz,8,"Which platform uses Swift for mobile app development?","[""Android"",""iOS"",""Windows Phone"",""Linux""]","iOS","\niOS development uses Swift and Objective-C.\n\nIt targets Apple devices.\n\nApps are distributed via Apple App Store.\n\nExample: Building an iPhone application.",hard,TRUE,2026-02-24 15:00:00
c1a9f0e2-3d4b-4a6f-9c1e-7b8a2d1e9029,Day 2,quiz,9,"Which process converts DOM into visual output?","[""Compilation"",""Rendering"",""Indexing"",""Encryption""]","Rendering","\nRendering converts DOM into visible content.\n\nIt applies CSS styles during display.\n\nIt finalizes visual representation.\n\nExample: Styled webpage displayed on screen.",hard,TRUE,2026-02-24 15:00:00
c1a9f0e2-3d4b-4a6f-9c1e-7b8a2d1e9030,Day 2,quiz,10,"Which benefit is associated with cross-platform technologies?","[""Higher hardware cost"",""Single codebase for multiple platforms"",""No maintenance required"",""Only desktop support""]","Single codebase for multiple platforms","\nCross-platform technologies allow one shared codebase.\n\nThis reduces time and cost.\n\nThey target multiple platforms efficiently.\n\nExample: Building one app for both Android and iOS.",medium,TRUE,2026-02-24 15:00:00





550e8400-e29b-41d4-a716-446655440001,Day 4,scenario,1,A user submits a login form on a website. Walk through what happens in the backend after the user clicks the login button.,,,"\nWhen the user clicks login, the frontend sends a request to the backend through an API.\n\nThe server receives the request and executes business logic to validate the credentials. It checks the database to verify stored user data.\n\nIf authentication is successful, the server sends a response confirming access. If not, it returns an error message.\n\nIn real applications, this ensures secure access control.\n\nExample: A user enters email and password, the server verifies it in the users table, and returns a success response.",easy,TRUE,2026-02-24 10:00:00
550e8400-e29b-41d4-a716-446655440002,Day 4,scenario,2,Your application needs to store product descriptions and images. How does the backend manage this data?,,,"\nThe backend stores structured text data such as product descriptions inside a database.\n\nImages are also stored either directly or referenced from storage systems, and their metadata is maintained in the database.\n\nEfficient storage management ensures faster retrieval and better performance.\n\nExample: A product name and price are stored in a table, while the image path is saved as a record linked to that product.",easy,TRUE,2026-02-24 10:00:00
550e8400-e29b-41d4-a716-446655440003,Day 4,scenario,3,A frontend page is not displaying updated user information. Which backend components would you check and why?,,,"\nThe first component to check is the API to ensure it is returning updated data.\n\nNext, verify whether the server logic correctly processes and fetches the latest records.\n\nFinally, confirm that the database contains the updated information.\n\nThese three components work together to deliver correct data to the frontend.\n\nExample: If a user updates their address but the database was not updated, the old data will continue to appear.",easy,TRUE,2026-02-24 10:00:00
550e8400-e29b-41d4-a716-446655440004,Day 4,scenario,4,During a big sale event, thousands of users try to access the system simultaneously. How does backend architecture handle this?,,,"\nThe server is designed to handle multiple incoming requests at the same time.\n\nIt processes each request using backend logic and retrieves necessary data from the database.\n\nProper backend architecture ensures smooth performance under load.\n\nExample: During a flash sale, the server processes many product view and purchase requests without crashing.",medium,TRUE,2026-02-24 10:00:00
550e8400-e29b-41d4-a716-446655440005,Day 4,scenario,5,An e-commerce platform needs to update product stock after each purchase. Explain the backend flow.,,,"\nWhen a user confirms a purchase, the frontend sends a request to the backend.\n\nThe server processes the order and checks stock availability in the database.\n\nAfter successful payment, the server updates inventory in the database and sends confirmation.\n\nThis maintains data consistency and prevents overselling.\n\nExample: If stock is 10 and one unit is purchased, the database updates stock to 9.",medium,TRUE,2026-02-24 10:00:00
550e8400-e29b-41d4-a716-446655440006,Day 4,scenario,6,Your website stores high-resolution images that are slowing down performance. From a backend perspective, what considerations would you evaluate?,,,"\nLarge image files consume more storage space and bandwidth.\n\nBackend systems must manage file size efficiently to improve response time and scalability.\n\nOptimizing storage reduces server load and improves user experience.\n\nExample: Compressing a 2 MB image to 200 KB reduces load time significantly.",medium,TRUE,2026-02-24 10:00:00
550e8400-e29b-41d4-a716-446655440007,Day 4,scenario,7,A company wants to launch a new product globally. How does backend infrastructure support availability and performance?,,,"\nThe backend server processes global user requests and retrieves product data from databases.\n\nUsing cloud infrastructure ensures scalability and high availability.\n\nThis prevents downtime and supports business growth.\n\nExample: When a product launches, the backend ensures product details and stock are accessible worldwide.",medium,TRUE,2026-02-24 10:00:00
550e8400-e29b-41d4-a716-446655440008,Day 4,scenario,8,Traffic increases 10x during a festive sale. How does cloud computing help manage this spike?,,,"\nCloud computing allows businesses to scale server resources on demand.\n\nDuring high traffic, additional servers can be rented temporarily.\n\nAfter the event, resources can be scaled down to reduce cost.\n\nExample: Renting 1000 servers for 2 hours during a sale and reducing them afterward saves operational expense.",hard,TRUE,2026-02-24 10:00:00
550e8400-e29b-41d4-a716-446655440009,Day 4,scenario,9,A startup wants to avoid buying physical servers but still handle global users. What solution fits and why?,,,"\nCloud computing is suitable because it provides remote servers over the internet.\n\nIt eliminates hardware procurement and maintenance.\n\nIt offers scalability and cost efficiency.\n\nExample: Instead of building a data center, the startup rents computing resources from a cloud provider.",hard,TRUE,2026-02-24 10:00:00
550e8400-e29b-41d4-a716-446655440010,Day 4,scenario,10,During normal days traffic is low, but during special events it spikes heavily. How should backend resources be managed strategically?,,,"\nBackend resources should be scaled according to demand.\n\nScale up during peak events to maintain performance.\n\nScale down during regular days to reduce cost.\n\nThis optimizes both availability and operational expense.\n\nExample: Using 50 servers normally and increasing to 500 during major events.",hard,TRUE,2026-02-24 10:00:00
